date,title,cPOS
2019.04.01,"{'깜짝 7K KIA 황인준에게 두번째 선발 기회가 올까', 'KIA 불펜 희망으로 떠오른 ‘핫 준영’', 'KIA, 이번 주 ‘5할 승률’ 노린다', '기아타이거즈 류세미 치어리더, 완벽한 비율 자랑하는 사진 ‘눈길’', 'KIA, 4월 특명 ""공백 메우기""', 'KIA 불협화음 투·타…봄은 올까', ""'압도적 삼진율' KIA 김윤동, 세이브 기회 완수 소방수 연착륙"", '기아타이거즈, 투*타 모두 불안한 출발', '중무리의 재림? 관리 절실한 KIA 김윤동', ""KIA 타이거즈 김선빈, 굿네이버스 '더네이버스클럽' 등재"", '""이범호 곧 오는데"" KIA 최원준, 3루 잘 지키고 있나요?'}",1
2019.04.02,"{'KIA 주간전망-호랑이 군단, 라이벌 삼성·키움과 정면대결', 'KIA 이명기의 역발상, “올해 목표는 ‘잘 죽는 것’”', '4월이 됐다! KIA 이범호 1군행 초읽기, 최원준 행복한 고민을 안겨라', '‘삼성 외인투수 0승…맥과이어, 방어율 8.31’ KIA 터너, 10이닝 15피안타', ""'윌랜드 시즌 2승째' KIA, 삼성 제물로 2연승...두산, 4연승"", '삼성, KIA에 1-4 패…4연패 수렁', '\'대퇴부 부상\' KIA 김선빈 선발 복귀, 김기태 감독 ""이범호 1군행? 아직 공개...', 'KIA 괴물신인 김기훈, 1승이 의미있는 이유', 'K타이거즈 제로 변현민, 14일 생일맞이 팬미팅 ‘미니미니미팅’ 개최', 'KIA ‘유일한’ 선발승 투수, 윌랜드의 안정적인 착륙', ""삼성 '영건' 최충연 제구 난조, KIA전 5이닝 4볼넷 4실점 부진"", 'KIA 임기영, 왼쪽 옆구리 근육 손상…한승혁도 재활 잠정 중단', ""'최악 스타트' 나지완, '강한 2번'으로 변신해야 KIA 반등한다"", '윌랜드 6.1이닝 1실점 호투…KIA는 2연승', ""[사진]KIA,'기분 좋은 연승'"", ""'윌랜드 2승·안치홍 3안타' KIA, 삼성 4-1 제압"", '야구토토 8회차 KIA, 삼성전 우세 전망', ""'안치홍 3안타' KIA, 삼성 4연패 늪에 빠트려"", ""'선발 윌랜드 시즌 2승' KIA 4대1 승리, 삼성 4연패 수렁""}",0
2019.04.03,"{""또 다시 미뤄진 KIA '괴물루키' 김기훈 프로 데뷔 선발승, 삼성전 6이닝 4실점"", ""'3안타 6득점 초응집력' 삼성, KIA 제압 '4연패 탈출' [오!센 리뷰]"", 'KIA, 연승행진 제동…삼성에 3-6 패', '예상치 못한 KIA 마운드, 에이스는 윌랜드 철벽은 하준영', '‘한화·KIA·LG, 블론세이브 0개’ 한화·롯데, 세이브 0개', '역투하는 KIA 김기훈', ""삼성 5선발 최채흥 '희망'을 던졌다, KIA전 4이닝 2실점 호투"", 'KIA, 해즐베이커 개막 후 첫 선발 제외…삼성, 최충연 선발 고민', '[3일 프리뷰] KIA 루키 김기훈 연속 호투? 잠자는 삼성타선 깨어나나?', '‘마무리’ KIA 김윤동 “끝까지 보직 지키겠다”', ""[취재수첩] KIA, 팬들과의 동행 '주목'"", '첫 득점 올리는 KIA 이창진', '역투하는 KIA 이준영', '삼성, KIA에 승리…4연패 탈출', '“광주 기아챔피언스 필드서 올반 만두 먹자”…신세계푸드, 스포츠 컨세션 사...', ""KIA 최형우 '가볍게 툭'"", '삼성, KIA 잡고 4연패 탈출'}",0
2019.04.04,"{""KIA 선발 양현종 '역투'"", ""KIA 최형우, 적시타 '달려'"", 'KIA 타선 불 붙일 리드오프 적임자는 누구', '11점 타선지원 받았지만…, 삼성 맥과이어 KIA전 3⅔이닝 6실점 조기강판', '구자욱, KIA 양현종 상대로 스리런 홈런', '추격하는 KIA', '9안타 고작 3점, 이것이 야구다? KIA의 씁쓸한 현실이다', ""삼성 구자욱, 1회 KIA '에이스' 양현종 상대 스리런 폭발!"", 'KIA 윤해진을 아시나요?', ""'구자욱 2홈런 7타점' 삼성, KIA에 승"", ""KIA 최원준 '도루실패'"", ""KIA 주전멤버 2명 빠진다, '캡틴' 김주찬 허리통증-안치홍 손가락 부상"", ""'구자욱 스리런 2방' 삼성, KIA에 12대7 승리…시즌 2번째 위닝시리즈"", ""'5G 연속 홈런 0' KIA, 대포 군단의 위용이 사라졌다"", ""[정오의 프리뷰] '2전 2패' KIA 양현종, 삼성 상대 첫 승 신고할까"", '구자욱 2홈런 7타점...삼성 이틀 연속 기아 제압', '삼성, KIA에 12대7 승리… 시즌 두 번째 위닝 시리즈', ""'한 방' 필요한 KIA, '2군 예열' 이범호-'타격 부진' 최원준 살릴 시나리오"", ""'에이스의 굴욕' KIA 1선발 양현종, '라팍'만 오면 왜 작아지는가?""}",1
2019.04.05,"{""KIA 이명기 '이게 홈런의 맛'"", ""'이명기 결승 홈런' KIA, 키움 꺾고 2연패 탈출"", ""KIA 안치홍 '안타치고'"", ""KIA 이창진 '출루 하이파이브'"", ""KIA 고영창 '역투'"", '에이스 부진, 정예타선 침묵...KIA, 첫번째 위기 찾아왔나', '‘말소’ 칼바람 몰아친 날…‘이명기 홈런’ 앞세운 KIA의 연패 탈출', ""KIA 김윤동 '실점은 없어'"", '키움 장영석, 8회 동점 스리런포..KIA 하준영 첫 실점', '부상 김주찬 김선빈도 이탈...KIA 5명 대거 1군 말소 [오!쎈 현장]', 'KIA, 4대 6으로 키움에게 승리', 'KIA 왼손투수 임기준 1군 등록', ""[사진]KIA 임혜진 치어리더,'순백의 피부 뽐내며'"", '기아 엔트리 5명 말소, 5일 KIA-키움전 김주찬, 김선빈, 나지완 등 말소', ""[사진]KIA 정가예 치어리더,'사랑스러운 섹시댄스'"", ""[사진]KIA 류세미 치어리더,'두근두근 터치'"", '역투하는 KIA 하준영', ""'이 대신 잇몸' KIA, 주전들 2군행 속 연패 끊었다"", ""[사진]KIA 치어리더 이이슬,'오늘은 배트걸로'"", ""KIA 이창진 '선취점 세이프'"", ""[스포츠타임 현장] '5명 말소' KIA, 5일 키움전 파격 라인업 발표"", ""KIA 마무리 배터리 '승리의 하이파이브'"", ""'이명기 결승포' KIA, 키움 추격 뿌리치고 2연패 탈출"", '타격부진 나지완·해즐베이커-부상 김주찬·김선빈 엔트리 제외…KIA 1.5군 수...'}",1
2019.04.06,"{""'샌즈 4타점' 키움, KIA에 14-4 대승"", 'KIA 이명기 결승타, 키움전 6-4 승', ""'145km 포크' 터너, 완전 회복...KIA 원투펀치 정상가동"", ""[사진]KIA 류세미 치어리더,'빠져드는 손짓'"", ""티켓링크 '2019 프로야구 KBO 리그' 티켓 예매 진행, 7일 'KIA VS 키움'-'KT ..."", ""[사진]KIA,'실책까지 겹치며 자멸'"", ""[사진]KIA 치어리더 이이슬,'그라운드를 힘차게 달리며'"", ""[스포츠타임 시선] 잇몸으로 싸운 KIA, '뎁스 얇다' 편견 무너뜨렸다"", ""[체크스윙] '부상 도미노' KIA... 유망주로 버틸 수 있을까"", '터너도 찾은 안정감…KIA는 ‘에이스’ 양현종을 여전히 믿는다', ""[스포츠타임 시선] '11볼넷 내준' KIA, 투수진 난조에 '속수무책'"", ""[사진]KIA 선발 황인준,'혼신의 힘을 다해'"", '‘선발전원득점+최원태 첫승’ 키움, KIA 맹폭 ‘호랑이 사냥’', '악몽의 1이닝 9실점...아직 갈 길이 먼 KIA 젊은 불펜 [오!쎈 현장]', '김하성-샌즈 맹타쇼, 키움 KIA에 14대4 대승'}",1
2019.04.07,"{""비내리는 광주날씨, KIA-키움전 시즌 첫 '우천취소'"", '프로야구 기아 타이거즈-키움 히어로즈 우천 취소', '""기지개 킨 강타선에 영향 미치나""…KIA와의 3연전 마지막 경기 \'우천취소\'로...', '비 내리는 광주-기아 챔피언스필드', '37분 걸린 5회초…‘9실점’ KIA 불펜은 어떻게 자멸했나 [MK포커스]', ""'팀 ERA 10위-볼넷 1위' KIA, 성적과 리빌딩의 엇박자"", 'KIA-키움 전, 우천 취소 결정', 'KIA 황인준, 1군 엔트리 말소…10일 뒤 다시 ‘선발 등판’', ""'강타선 부활 조짐' 키움, KIA와의 경기 우천취소가 영향 미칠까"", ""광주날씨 실검 등장 이유는? 프로야구 '기아타이거즈-키움히어로즈' 우천취소..."", '[프로야구] 키움 vs KIA전, 2019시즌 첫 우천 연기', 'KIA의 신형 엔진 이창진 “플레이 하나하나, 허투루 하기 싫다”', '우중충한 광주 날씨, 프로야구 광주 기아타이거즈-키움 경기 우천 취소', ""'젊은 피' 고개를 들어라! '강제 육성 모드' KIA, 인내할 시간이다"", 'KBO 7일 광주 넥센-KIA전, 시즌 1호 우천 취소... 추후 재편성', '프로야구 우천취소 규정 뭐길래? 키움 기아는 우천취소, 한화 롯데는 야구 강...'}",0
2019.04.08,"{'<프로야구 주간 전망>삼중고 KIA, 반전에 성공할까', 'KIA 타이거즈, 분위기 반전 노린다', '‘평균자책점 최하위’ KIA, 반등 조건은 역시 마운드', '기아타이거즈 류세미 치어리더, 미소가 아름다운 셀카 눈길', ""KIA 타이거즈, 시즌 8위..투타 '부진'"", ""'체면 구긴' 최형우 & 양현종, 불안한 시선 씻어낼까? [KIA 프리뷰]"", 'KIA 투·타 비상… 에이스 양현종이 중심 잡을까', 'KIA, 키움전 마운드 붕괴로 대패', ""KIA '좌완 풍년', '괴물루키' 김기훈-'준영 듀오' 가세로 역대급 좌완라인 갖..."", ""'득타율 .188' 해결사 최형우 살아나야 KIA 달라진다""}",0
2019.04.09,"{'KIA 김기태 감독 ""양현종 부진하지 않다""', '프로야구 SK와이번스-한화이글스, 0C다이노스-기아타이거즈 우천 취소', '오늘 광주 KIA-0C, 대전 한화-SK, 잠실 LG-삼성전 우천 취소', '[SC프리토크]KIA 김기태 감독 ""양현종, 내가 욕먹더라도 깎아내릴 생각無""', ""광주 굵은비, 0C-KIA전 진행여부 '불투명'"", '[SC현장프리뷰]KIA 김기훈 한박자 쉼표, 윌랜드 10일 0C전 등판', ""타선 환골탈태 '불방망이' 경험부족 KIA 마운드 공략"", 'KIA 이범호·키움 박동원, 올 시즌 첫 1군 등록', '기아-키움 2017년 트레이드, 달라지는 손익계산서', 'KIA 주간전망-궁지 몰린 KIA, 이번엔 상위팀과 맞대결', ""KIA 타이거즈, 시즌 8위..투타 '부진'"", '다시 윌랜드부터 시작하는 한주…KIA, 반등 실마리 찾을 수 있을까', 'KIA, 봄비에 하루 더 휴식', '9일 광주 0C-KIA전 우천 순연, 추후 편성', '봄비 젖은 챔스필드, 0C-KIA 경기 열릴까? [현장 S0S]', 'KIA 최원준, 이범호 복귀해도 3루 지켰다 [오!쎈 현장]', '9일 0C-KIA, SK-한화 2경기 우천취소 [현장 S0S]'}",0
2019.04.10,"{'투구에 맞는 KIA 문선재', 'KIA 저조한 타율… 공인구 때문?', '연장승부 매듭 짓는 KIA', ""'최원준 빠른 발로 결승점' KIA, 연장 접전 끝에 0C에 2:1 역전승"", '0C, 연장 접전 끝 기아에 역전패', '도루에 울고 웃은 KIA, 0C에 2-1 역전승', 'CMB광주방송, KIA타이거즈 홈경기 수어통역 제공', ""KIA 문선재, 0C 박진우에 동점 솔로포 '쾅!'"", '10회말 승부 매듭짓는 KIA', ""<프로야구 KIA>'반갑다 이창진' 주전 공백 지운다"", 'KIA, 윌랜드 호투 업고 베테랑·젊은피 조화로 값진 승', '역투하는 KIA 윌랜드', ""[SC현장리뷰]'최원준 끝내기 득점' KIA, 0C 2대1 제압"", '[SC코멘트]KIA 김기태 감독 ""선수들의 승리 의지 강했다""', '돌아온 KIA 이범호 ""프로 20년 하니 자꾸 고장나네"" [백스톱]', ""'최형우 끝내기 희생플라이' KIA, 연장 접전 끝 0C 제압"", '연장 접전 끝 승리한 KIA', '[SC프리토크]KIA 김기태 감독 ""최형우, 곧 나아질 것""', '레전드·수퍼베어즈·타이거즈·라이언스 첫 승', '아시안타이거즈트랜스팩 등 16개 업체 AEO 증서 획득', '최원준 결승득점 KIA 올시즌 첫 끝내기'}",1
